Superfamily,Family,Genus,Species,Month,Year,Country,State,Municipality,Locality,Species-Locality,Latitude_Longitude,Range_Size_sq_km,BIO1,BIO12,SampleID,Sequence_Reads,SVL_mm,Primary_Habitat,Extraction,mean_NDVI,OTU_richness,Faith_PD,Endangerment,Brazil_Redlist,IUCN_Status,Publication,,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E12,3139,25,Arboreal,Prepman,0.700282609,62,6.467685,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E14,3567,25,Arboreal,Prepman,0.700282609,61,6.57911,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E15,7934,25,Arboreal,Prepman,0.700282609,73,7.329908,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E16,8371,25,Arboreal,Prepman,0.700282609,54,5.809681,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E18,6034,25,Arboreal,Prepman,0.700282609,48,6.086798,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E19,9129,25,Arboreal,Prepman,0.700282609,43,3.945372,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,elegans,November,2016,Brazil,SP,Ubatuba,22,56,23.42 S 45.04 W,725223.9652,228,2476,E9,2042,25,Arboreal,Prepman,0.700282609,58,5.93581,Non-threatened,LC,LC,"Neely WJ, Greenspan SE, Ribeiro LP, Carvalho T, Martins RA, Rodriguez D, et al. Synergistic effects of warming and disease linked to high mortality in cool-adapted terrestrial frogs. Biol Conserv. 2020;245:108521.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Eleutherodactylidae,Eleutherodactylus,johnstonei,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,48,23.27 S 45.19 W,28215.0583,155,1743,JON23,10407,35,Terrestrial,Prepman,0.731252,16,1.095334,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Eleutherodactylidae,Eleutherodactylus,johnstonei,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,48,23.27 S 45.19 W,28215.0583,155,1743,JON25,2458,35,Terrestrial,Prepman,0.731252,17,2.118265,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Eleutherodactylidae,Eleutherodactylus,johnstonei,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,48,23.27 S 45.19 W,28215.0583,155,1743,JON5,1907,35,Terrestrial,Prepman,0.731252,24,3.083791,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Eleutherodactylidae,Eleutherodactylus,johnstonei,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,48,23.27 S 45.19 W,28215.0583,155,1743,JON9,6130,35,Terrestrial,Prepman,0.731252,30,3.224621,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND10,2661,28,Aquatic,Dneasy,0.865271992,335,30.754246,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND11,5185,28,Aquatic,Dneasy,0.865271992,282,25.675209,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND14,4323,28,Aquatic,Dneasy,0.865271992,121,16.903976,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND15,4264,28,Aquatic,Dneasy,0.865271992,292,29.073695,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND21,3707,28,Aquatic,Dneasy,0.865271992,351,29.419896,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND23,8959,28,Aquatic,Dneasy,0.865271992,130,17.736564,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND24,1850,28,Aquatic,Dneasy,0.865271992,307,29.513541,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND25,1850,28,Aquatic,Dneasy,0.865271992,206,23.296843,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND27,5181,28,Aquatic,Dneasy,0.865271992,247,25.370464,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND44,13622,28,Aquatic,Dneasy,0.865271992,237,27.004697,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,February,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND45,10859,28,Aquatic,Dneasy,0.865271992,379,31.726923,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylodidae,Hylodes,japi,Jan-Mar,2018,Brazil,SP,Jundiai,10,20,23.23 S 46.94 W,60.512922,168,1377,JUND47,11766,28,Aquatic,Dneasy,0.865271992,336,30.023419,Non-threatened,Not Evaluated,LC,new data,,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN1,6191,24,Arboreal,Prepman,0.731252,27,3.014213,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN10,4364,24,Arboreal,Prepman,0.731252,17,3.238199,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN23,6108,24,Arboreal,Prepman,0.731252,25,3.261653,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN24,1890,24,Arboreal,Prepman,0.731252,55,4.848406,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN28,5354,24,Arboreal,Prepman,0.731252,47,4.469083,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN29,2304,24,Arboreal,Prepman,0.731252,62,5.327247,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN30,4538,24,Arboreal,Prepman,0.731252,45,4.084427,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
